hh_id,vehicle_id,vehicle_num,year,fuel_type,hh_weight
22068030,2206803001,1,2014,1,957.2753451
22068217,2206821701,1,2014,1,1250.909898
22068474,2206847401,1,2021,4,1039.819704
22068498,2206849801,1,2012,1,682.2832466
22068514,2206851401,1,2015,1,883.238364
22068514,2206851402,2,2011,1,883.238364
22068611,2206861101,1,2014,1,1968.49728
22068631,2206863101,1,2014,1,1081.740673
22068631,2206863102,2,2014,1,1081.740673
22068795,2206879501,1,2017,1,1667.008247
22068838,2206883801,1,2019,1,1675.182814
22068987,2206898701,1,2015,1,2325.941994
22069060,2206906001,1,2020,1,2364.270384
22069060,2206906002,2,2021,2,2364.270384
22069214,2206921401,1,2019,1,1768.264417
22069239,2206923901,1,2007,1,5789.108959
22069261,2206926101,1,2015,1,454.4694065
22069287,2206928701,1,2019,1,912.8947886
22069423,2206942301,1,2017,1,1245.491233
22069510,2206951001,1,1997,1,7007.053675
22070196,2207019601,1,2012,1,90.13894661
22070238,2207023801,1,2013,1,1337.375735
22070366,2207036601,1,2020,1,3923.966405
22070366,2207036602,2,2010,1,3923.966405
22070864,2207086401,1,2017,2,636.6932836
22071053,2207105301,1,2022,1,2847.112522
22071257,2207125701,1,2021,1,724.5137323
22071257,2207125702,2,2020,1,724.5137323
22071320,2207132001,1,2021,1,1877.485034
22071508,2207150801,1,2019,1,1251.520136
22071515,2207151501,1,2008,1,1568.541602
22071552,2207155201,1,2019,1,4601.073537
22071621,2207162101,1,2008,1,1075.902679
22071622,2207162201,1,2015,1,607.1593762
22071704,2207170401,1,2019,1,860.2348489
22071978,2207197801,1,2019,1,628.0815259
22072113,2207211301,1,2019,1,1658.089756
22072137,2207213701,1,2016,1,1234.542909
22072183,2207218301,1,2006,1,4675.355211
22072379,2207237901,1,2022,1,631.4564512
22072389,2207238901,1,2013,1,3668.006995
22072460,2207246001,1,2008,1,1140.516813
22072631,2207263101,1,2010,1,1888.585625
22072696,2207269601,1,2018,1,690.8568077
22073468,2207346801,1,2022,4,628.0815259
22073613,2207361301,1,2020,1,2945.22951
22073625,2207362501,1,2022,1,787.4014266
22073676,2207367601,1,2018,2,3765.552552
22073740,2207374001,1,2019,1,4983.90486
